TS,Value
2013-06-21 22:00:00,839
2013-06-21 23:00:00,608
2013-06-22 00:00:00,385
2013-06-22 01:00:00,242
2013-06-22 02:00:00,163
2013-06-22 03:00:00,119
2013-06-22 04:00:00,102
2013-06-22 05:00:00,69
2013-06-22 06:00:00,69
2013-06-22 07:00:00,110
2013-06-22 08:00:00,154
2013-06-22 09:00:00,288
2013-06-22 10:00:00,408
2013-06-22 11:00:00,539
2013-06-22 12:00:00,633
2013-06-22 13:00:00,688
2013-06-22 14:00:00,724
2013-06-22 15:00:00,707
2013-06-22 16:00:00,512
2013-06-22 17:00:00,267
2013-06-22 18:00:00,260
2013-06-22 19:00:00,365
2013-06-22 20:00:00,396
2013-06-22 21:00:00,433
2013-06-22 22:00:00,574
2013-06-22 23:00:00,509
2013-06-23 00:00:00,417
2013-06-23 01:00:00,233
2013-06-23 02:00:00,165
2013-06-23 03:00:00,146
2013-06-23 04:00:00,93
2013-06-23 05:00:00,63
2013-06-23 06:00:00,41
2013-06-23 07:00:00,43
2013-06-23 08:00:00,54
2013-06-23 09:00:00,138
2013-06-23 10:00:00,140
2013-06-23 11:00:00,218
2013-06-23 12:00:00,298
2013-06-23 13:00:00,337
2013-06-23 14:00:00,388
2013-06-23 15:00:00,377
2013-06-23 16:00:00,251
2013-06-23 17:00:00,185
2013-06-23 18:00:00,202
2013-06-23 19:00:00,285
2013-06-23 20:00:00,355
2013-06-23 21:00:00,435
2013-06-23 22:00:00,538
2013-06-23 23:00:00,445
2013-06-24 00:00:00,305
2013-06-24 01:00:00,222
2013-06-24 02:00:00,118
2013-06-24 03:00:00,87
2013-06-24 04:00:00,48
2013-06-24 05:00:00,28
2013-06-24 06:00:00,45
2013-06-24 07:00:00,111
2013-06-24 08:00:00,275
2013-06-24 09:00:00,1009
2013-06-24 10:00:00,1407
2013-06-24 11:00:00,1325
2013-06-24 12:00:00,1030
2013-06-24 13:00:00,1131
2013-06-24 14:00:00,1216
2013-06-24 15:00:00,1228
2013-06-24 16:00:00,1081
2013-06-24 17:00:00,792
2013-06-24 18:00:00,828
2013-06-24 19:00:00,1025
2013-06-24 20:00:00,1037
2013-06-24 21:00:00,965
2013-06-24 22:00:00,808
2013-06-24 23:00:00,606
2013-06-25 00:00:00,505
2013-06-25 01:00:00,165
2013-06-25 02:00:00,97
2013-06-25 03:00:00,70
2013-06-25 04:00:00,29
2013-06-25 05:00:00,54
2013-06-25 06:00:00,44
2013-06-25 07:00:00,115
2013-06-25 08:00:00,346
2013-06-25 09:00:00,1055
2013-06-25 10:00:00,1505
2013-06-25 11:00:00,1366
2013-06-25 12:00:00,1063
2013-06-25 13:00:00,1084
2013-06-25 14:00:00,993
2013-06-25 15:00:00,1126
2013-06-25 16:00:00,1109
2013-06-25 17:00:00,843
2013-06-25 18:00:00,953
2013-06-25 19:00:00,946
2013-06-25 20:00:00,1090
2013-06-25 21:00:00,1010
2013-06-25 22:00:00,843
2013-06-25 23:00:00,534
2013-06-26 00:00:00,396
2013-06-26 01:00:00,170
2013-06-26 02:00:00,80
2013-06-26 03:00:00,65
2013-06-26 04:00:00,44
2013-06-26 05:00:00,66
2013-06-26 06:00:00,53
2013-06-26 07:00:00,88
2013-06-26 08:00:00,303
2013-06-26 09:00:00,1044
2013-06-26 10:00:00,1394
2013-06-26 11:00:00,1284
2013-06-26 12:00:00,1199
2013-06-26 13:00:00,957
2013-06-26 14:00:00,911
2013-06-26 15:00:00,1187
2013-06-26 16:00:00,1229
2013-06-26 17:00:00,860
2013-06-26 18:00:00,826
2013-06-26 19:00:00,909
2013-06-26 20:00:00,973
2013-06-26 21:00:00,997
2013-06-26 22:00:00,867
2013-06-26 23:00:00,645
2013-06-27 00:00:00,370
2013-06-27 01:00:00,193
2013-06-27 02:00:00,102
2013-06-27 03:00:00,64
2013-06-27 04:00:00,55
2013-06-27 05:00:00,72
2013-06-27 06:00:00,50
2013-06-27 07:00:00,118
2013-06-27 08:00:00,319
2013-06-27 09:00:00,1058
2013-06-27 10:00:00,1417
2013-06-27 11:00:00,1318
2013-06-27 12:00:00,1154
2013-06-27 13:00:00,1100
2013-06-27 14:00:00,1155
2013-06-27 15:00:00,1153
2013-06-27 16:00:00,1246
2013-06-27 17:00:00,822
2013-06-27 18:00:00,953
2013-06-27 19:00:00,1005
2013-06-27 20:00:00,1116
2013-06-27 21:00:00,1031
2013-06-27 22:00:00,909
2013-06-27 23:00:00,556
2013-06-28 00:00:00,272
2013-06-28 01:00:00,178
2013-06-28 02:00:00,164
2013-06-28 03:00:00,75
2013-06-28 04:00:00,49
2013-06-28 05:00:00,47
2013-06-28 06:00:00,62
2013-06-28 07:00:00,108
2013-06-28 08:00:00,354
2013-06-28 09:00:00,1000
2013-06-28 10:00:00,1395
2013-06-28 11:00:00,1253
2013-06-28 12:00:00,1180
2013-06-28 13:00:00,1202
2013-06-28 14:00:00,1169
2013-06-28 15:00:00,1224
2013-06-28 16:00:00,1119
2013-06-28 17:00:00,774
2013-06-28 18:00:00,968
2013-06-28 19:00:00,940
2013-06-28 20:00:00,1141
2013-06-28 21:00:00,1063
2013-06-28 22:00:00,900
2013-06-28 23:00:00,768
2013-06-29 00:00:00,458
